# EWR station from Weather Underground
Time	Temperature	Dew_Point	Humidity	Wind	Wind_Speed	Wind_Gust	Pressure	Precip	Condition
1:51 AM	78 °F	72 °F	81 %	S	7 mph	0 mph	30.04 in	0.0 in	Mostly Cloudy
2:51 AM	78 °F	72 °F	81 %	S	7 mph	0 mph	30.04 in	0.0 in	Cloudy
3:51 AM	78 °F	71 °F	79 %	S	6 mph	0 mph	30.03 in	0.0 in	Cloudy
4:51 AM	78 °F	72 °F	81 %	S	5 mph	0 mph	30.03 in	0.0 in	Cloudy
5:22 AM	78 °F	72 °F	81 %	S	6 mph	0 mph	30.03 in	0.0 in	Cloudy
5:46 AM	79 °F	72 °F	78 %	S	7 mph	0 mph	30.03 in	0.0 in	Mostly Cloudy
5:51 AM	78 °F	72 °F	81 %	SSW	6 mph	0 mph	30.03 in	0.0 in	Mostly Cloudy
6:16 AM	78 °F	72 °F	81 %	S	5 mph	0 mph	30.04 in	0.0 in	Cloudy
6:51 AM	78 °F	72 °F	81 %	SSW	6 mph	0 mph	30.03 in	0.0 in	Mostly Cloudy
7:35 AM	79 °F	71 °F	77 %	S	6 mph	0 mph	30.04 in	0.0 in	Mostly Cloudy
7:51 AM	79 °F	71 °F	77 %	S	6 mph	0 mph	30.04 in	0.0 in	Mostly Cloudy
8:16 AM	81 °F	71 °F	72 %	SSW	5 mph	0 mph	30.04 in	0.0 in	Mostly Cloudy
8:51 AM	83 °F	71 °F	67 %	S	7 mph	0 mph	30.04 in	0.0 in	Mostly Cloudy
9:07 AM	84 °F	70 °F	63 %	S	9 mph	0 mph	30.04 in	0.0 in	Mostly Cloudy
9:51 AM	84 °F	70 °F	63 %	WSW	5 mph	0 mph	30.04 in	0.0 in	Mostly Cloudy
10:51 AM	84 °F	69 °F	61 %	S	3 mph	0 mph	30.04 in	0.0 in	Mostly Cloudy
11:27 AM	86 °F	70 °F	59 %	SSW	8 mph	0 mph	30.03 in	0.0 in	Mostly Cloudy
11:51 AM	86 °F	70 °F	59 %	S	9 mph	0 mph	30.03 in	0.0 in	Mostly Cloudy
12:51 PM	88 °F	71 °F	57 %	VAR	7 mph	0 mph	30.01 in	0.0 in	Mostly Cloudy
1:51 PM	87 °F	72 °F	61 %	SE	10 mph	0 mph	30.00 in	0.0 in	Mostly Cloudy
2:51 PM	88 °F	72 °F	59 %	SE	9 mph	0 mph	29.98 in	0.0 in	Light Rain
3:51 PM	83 °F	74 °F	74 %	S	10 mph	0 mph	29.97 in	0.0 in	Rain
4:12 PM	82 °F	75 °F	79 %	SSE	9 mph	18 mph	29.97 in	0.1 in	Heavy T-Storm
4:41 PM	79 °F	75 °F	88 %	SSE	13 mph	22 mph	29.97 in	0.4 in	Heavy T-Storm
4:51 PM	79 °F	74 °F	84 %	SSE	9 mph	0 mph	29.97 in	0.6 in	Heavy T-Storm
5:06 PM	79 °F	75 °F	88 %	CALM	0 mph	0 mph	29.98 in	0.1 in	T-Storm
5:51 PM	77 °F	73 °F	88 %	NW	13 mph	0 mph	30.00 in	0.3 in	Heavy T-Storm
6:40 PM	76 °F	72 °F	87 %	W	25 mph	36 mph	30.03 in	0.4 in	Heavy T-Storm / Windy
6:46 PM	73 °F	70 °F	88 %	WNW	24 mph	37 mph	30.02 in	0.6 in	Heavy T-Storm / Windy
6:51 PM	73 °F	70 °F	90 %	W	23 mph	32 mph	30.03 in	0.7 in	Heavy T-Storm / Windy
7:18 PM	74 °F	69 °F	85 %	NW	15 mph	0 mph	30.03 in	0.3 in	T-Storm
7:42 PM	75 °F	71 °F	87 %	NNW	9 mph	0 mph	30.04 in	0.3 in	T-Storm
7:51 PM	75 °F	71 °F	87 %	N	10 mph	0 mph	30.03 in	0.3 in	T-Storm
8:19 PM	74 °F	71 °F	91 %	N	9 mph	0 mph	30.03 in	0.1 in	Rain
8:51 PM	74 °F	71 °F	91 %	NNE	6 mph	0 mph	30.03 in	0.1 in	Rain
9:51 PM	74 °F	71 °F	91 %	NE	3 mph	0 mph	30.04 in	0.0 in	Light Rain
10:35 PM	75 °F	71 °F	87 %	CALM	0 mph	0 mph	30.04 in	0.0 in	Light Rain
10:51 PM	75 °F	71 °F	87 %	E	3 mph	0 mph	30.03 in	0.0 in	Light Rain
11:51 PM	76 °F	72 °F	87 %	SSE	3 mph	0 mph	30.02 in	0.0 in	Cloudy
